STN,YYYYMMDD,;HH,;DD,;FH,;FF,;FX,;T
321,20200101,;1;120;70;70;90;37
321,20200101,;2;120;70;70;100;36
321,20200101,;3;130;80;70;100;40
321,20200101,;4;140;60;60;90;41
321,20200101,;5;140;60;60;80;45
321,20200101,;6;140;50;50;80;45
321,20200101,;7;160;50;60;80;47
321,20200101,;8;160;60;60;80;50
321,20200101,;9;160;60;60;80;49
321,20200101,;10;140;60;50;80;47
321,20200101,;11;150;50;50;80;49
321,20200101,;12;160;60;60;80;47
321,20200101,;13;170;60;60;90;45
321,20200101,;14;160;60;60;80;45
321,20200101,;15;180;60;60;80;43
321,20200101,;16;190;60;60;90;34
321,20200101,;17;180;60;60;90;35
321,20200101,;18;190;60;60;90;35
321,20200101,;19;190;70;70;90;31
321,20200101,;20;200;70;60;90;30
321,20200101,;21;190;60;60;80;32
321,20200101,;22;210;60;60;90;37
321,20200101,;23;200;60;50;90;44
321,20200101,;24;210;50;60;80;50
321,20200102,;1;170;60;60;80;50
321,20200102,;2;200;60;50;80;49
321,20200102,;3;200;50;60;80;50
321,20200102,;4;190;50;50;70;53
321,20200102,;5;170;70;70;80;51
321,20200102,;6;180;80;80;100;50
321,20200102,;7;180;80;80;100;53
321,20200102,;8;180;90;90;100;53
321,20200102,;9;180;90;80;110;57
321,20200102,;10;180;90;90;100;59
321,20200102,;11;180;90;80;110;60
321,20200102,;12;170;90;100;110;61
321,20200102,;13;180;100;100;120;66
321,20200102,;14;180;100;110;130;66
321,20200102,;15;180;110;110;130;67
321,20200102,;16;180;110;110;130;70
321,20200102,;17;180;120;120;140;73
321,20200102,;18;180;120;130;150;76
321,20200102,;19;180;130;130;160;79
321,20200102,;20;180;130;130;160;81
321,20200102,;21;190;130;120;160;87
321,20200102,;22;190;120;120;150;91
321,20200102,;23;190;120;130;160;94
321,20200102,;24;190;120;110;150;93
321,20200103,;1;190;120;120;150;93
321,20200103,;2;190;120;120;160;96
321,20200103,;3;190;110;110;140;95
321,20200103,;4;190;120;110;150;97
321,20200103,;5;190;110;110;140;96
321,20200103,;6;190;120;130;150;93
321,20200103,;7;200;130;140;170;96
321,20200103,;8;210;140;130;170;103
321,20200103,;9;230;140;120;180;103
321,20200103,;10;230;130;110;160;101
321,20200103,;11;240;130;110;140;100
321,20200103,;12;260;120;110;150;99
321,20200103,;13;330;120;130;160;85
321,20200103,;14;330;140;120;180;83
321,20200103,;15;330;120;110;160;90
321,20200103,;16;320;120;120;150;87
321,20200103,;17;310;110;110;140;85
321,20200103,;18;300;100;100;130;83
321,20200103,;19;290;100;100;130;79
321,20200103,;20;280;100;100;120;78
321,20200103,;21;290;100;100;120;80
321,20200103,;22;280;110;100;130;80
321,20200103,;23;280;100;90;130;80
321,20200103,;24;280;100;120;140;78
321,20200104,;1;280;120;110;140;79
321,20200104,;2;280;110;110;130;78
321,20200104,;3;280;110;110;140;79
321,20200104,;4;280;110;120;140;81
321,20200104,;5;270;110;120;140;80
321,20200104,;6;270;120;120;150;84
321,20200104,;7;260;120;130;150;85
321,20200104,;8;260;120;130;160;83
321,20200104,;9;260;120;120;160;82
321,20200104,;10;260;120;130;150;81
321,20200104,;11;260;120;130;160;84
321,20200104,;12;270;120;120;150;85
321,20200104,;13;270;120;110;150;83
321,20200104,;14;270;110;110;130;84
321,20200104,;15;280;100;90;130;85
321,20200104,;16;280;90;90;110;88
321,20200104,;17;280;90;90;110;88
321,20200104,;18;290;90;90;110;88
321,20200104,;19;280;80;80;100;88
321,20200104,;20;280;80;80;100;87
321,20200104,;21;280;70;70;90;86
321,20200104,;22;280;70;60;80;87
321,20200104,;23;270;60;50;70;87
321,20200104,;24;270;50;50;60;88
321,20200105,;1;260;50;60;60;87
321,20200105,;2;250;60;60;70;88
321,20200105,;3;250;60;60;70;87
321,20200105,;4;240;60;50;70;88
321,20200105,;5;240;60;50;60;88
321,20200105,;6;230;60;60;80;89
321,20200105,;7;240;70;60;100;89
321,20200105,;8;240;70;60;80;87
321,20200105,;9;250;70;70;90;87
321,20200105,;10;230;70;60;90;88
321,20200105,;11;240;80;70;110;88
321,20200105,;12;230;90;80;110;82
321,20200105,;13;230;90;80;110;81
321,20200105,;14;240;90;90;110;85
321,20200105,;15;230;80;70;110;82
321,20200105,;16;240;80;70;100;85
321,20200105,;17;240;80;80;110;86
321,20200105,;18;240;80;70;100;87
321,20200105,;19;240;90;80;100;87
321,20200105,;20;220;80;90;110;89
321,20200105,;21;220;90;90;110;89
321,20200105,;22;230;80;70;100;89
321,20200105,;23;230;80;90;120;88
321,20200105,;24;230;90;80;110;89
321,20200106,;1;220;80;90;110;89
321,20200106,;2;230;100;70;120;89
321,20200106,;3;200;80;80;100;85
321,20200106,;4;190;80;90;110;76
321,20200106,;5;200;100;100;130;79
321,20200106,;6;200;110;110;130;79
321,20200106,;7;190;100;100;130;73
321,20200106,;8;190;100;100;120;71
321,20200106,;9;190;110;110;130;69
321,20200106,;10;190;110;100;130;68
321,20200106,;11;180;110;110;140;67
321,20200106,;12;180;110;110;130;66
321,20200106,;13;170;110;110;130;67
321,20200106,;14;170;110;100;130;68
321,20200106,;15;180;100;100;120;73
321,20200106,;16;200;110;110;130;76
321,20200106,;17;210;110;120;140;82
321,20200106,;18;210;120;100;160;84
321,20200106,;19;210;110;110;140;87
321,20200106,;20;210;120;120;150;84
321,20200106,;21;210;120;120;160;86
321,20200106,;22;230;120;100;150;93
321,20200106,;23;240;110;90;120;95
321,20200106,;24;260;90;90;110;95
321,20200107,;1;270;100;90;120;94
321,20200107,;2;270;80;80;110;93
321,20200107,;3;260;80;80;100;91
321,20200107,;4;250;70;60;100;90
321,20200107,;5;250;70;70;90;91
321,20200107,;6;230;70;50;90;89
321,20200107,;7;230;60;50;70;90
321,20200107,;8;210;60;60;80;92
321,20200107,;9;190;60;70;80;90
321,20200107,;10;200;90;80;110;91
321,20200107,;11;200;80;80;110;94
321,20200107,;12;190;90;90;110;89
321,20200107,;13;190;100;100;130;91
321,20200107,;14;190;110;110;160;93
321,20200107,;15;180;110;120;140;91
321,20200107,;16;180;120;110;140;90
321,20200107,;17;170;130;130;160;86
321,20200107,;18;170;130;130;160;88
321,20200107,;19;180;130;130;160;87
321,20200107,;20;190;130;130;160;87
321,20200107,;21;190;130;130;170;89
321,20200107,;22;180;140;140;160;92
321,20200107,;23;190;140;140;170;95
321,20200107,;24;190;140;140;170;99
321,20200108,;1;200;140;150;170;105,  1
321,20200108,;2;210;150;150;180;110,  1
321,20200108,;3;220;150;140;190;110,  1
321,20200108,;4;210;130;120;180;108,  1
321,20200108,;5;210;120;120;140;107,  1
321,20200108,;6;220;110;110;140;106,  1
321,20200108,;7;210;110;110;130;105,  1
321,20200108,;8;210;100;90;120;105,  1
321,20200108,;9;220;90;90;110;105,  1
321,20200108,;10;220;100;100;110;104,  1
321,20200108,;11;220;90;80;110;104
321,20200108,;12;230;80;70;90;104
321,20200108,;13;230;80;60;90;103
321,20200108,;14;230;70;60;70;101
321,20200108,;15;240;60;40;70;102
321,20200108,;16;220;50;50;60;101
321,20200108,;17;230;50;40;60;99
321,20200108,;18;210;40;50;60;97
321,20200108,;19;240;40;30;60;97
321,20200108,;20;200;30;30;40;96
321,20200108,;21;190;30;20;40;93
321,20200108,;22;180;30;30;40;92
321,20200108,;23;150;40;40;50;89
321,20200108,;24;150;50;60;70;89
321,20200109,;1;160;70;90;100;94
321,20200109,;2;150;80;90;110;96
321,20200109,;3;170;100;110;120;99
321,20200109,;4;170;110;110;140;102
321,20200109,;5;180;120;120;140;103,  1
321,20200109,;6;180;120;120;150;104,  1
321,20200109,;7;180;120;120;150;105,  1
321,20200109,;8;180;120;130;160;107,  1
321,20200109,;9;190;120;120;150;105
321,20200109,;10;190;130;130;150;104,  1
321,20200109,;11;190;130;140;160;106,  1
321,20200109,;12;200;140;130;160;109,  1
321,20200109,;13;210;130;130;170;113,  1
321,20200109,;14;210;120;120;150;112,  1
321,20200109,;15;200;110;100;140;106,  1
321,20200109,;16;190;90;80;120;105,  1
321,20200109,;17;180;70;70;90;104,  1
321,20200109,;18;170;100;100;130;105,  1
321,20200109,;19;180;100;90;120;105
321,20200109,;20;180;110;100;140;106
321,20200109,;21;200;100;100;130;112
321,20200109,;22;200;100;100;140;104
321,20200109,;23;220;100;100;130;104
321,20200109,;24;230;100;90;120;101
321,20200110,;1;230;90;80;100;99
321,20200110,;2;230;90;70;110;99
321,20200110,;3;240;80;60;90;99
321,20200110,;4;300;70;100;120;85
321,20200110,;5;300;100;90;120;80
321,20200110,;6;320;90;100;120;84
321,20200110,;7;320;110;120;140;81
321,20200110,;8;330;110;110;150;76
321,20200110,;9;320;100;110;140;78
321,20200110,;10;330;100;110;130;80
321,20200110,;11;320;100;90;130;78
321,20200110,;12;320;100;90;130;83
321,20200110,;13;320;90;80;110;86
321,20200110,;14;300;90;90;110;85
321,20200110,;15;300;80;80;100;83
321,20200110,;16;300;80;80;90;78
321,20200110,;17;290;70;60;80;77
321,20200110,;18;270;60;60;80;78
321,20200110,;19;230;50;30;70;77
321,20200110,;20;230;40;40;50;80
321,20200110,;21;240;60;60;80;81
321,20200110,;22;220;70;80;100;81
321,20200110,;23;230;80;90;120;80
321,20200110,;24;220;90;100;120;79
321,20200111,;1;220;110;110;130;79
321,20200111,;2;210;110;110;150;83
321,20200111,;3;200;110;110;130;82
321,20200111,;4;200;110;110;130;80
321,20200111,;5;200;110;110;140;80
321,20200111,;6;200;110;120;140;82
321,20200111,;7;200;120;120;140;80
321,20200111,;8;190;120;130;150;79
321,20200111,;9;190;130;130;160;80
321,20200111,;10;190;140;140;170;79
321,20200111,;11;190;130;130;170;81
321,20200111,;12;190;140;140;170;79
321,20200111,;13;190;140;140;180;81
321,20200111,;14;190;140;140;170;85
321,20200111,;15;190;130;130;160;88
321,20200111,;16;200;150;160;190;93
321,20200111,;17;200;150;150;190;93
321,20200111,;18;200;160;150;200;93
321,20200111,;19;200;150;140;190;93
321,20200111,;20;190;140;150;180;88
321,20200111,;21;200;140;150;180;89
321,20200111,;22;200;140;140;170;89
321,20200111,;23;190;120;120;160;88
321,20200111,;24;200;130;130;160;90
321,20200112,;1;200;140;150;180;91
321,20200112,;2;200;150;150;190;88
321,20200112,;3;200;150;140;190;88
321,20200112,;4;200;150;160;190;85
321,20200112,;5;190;150;150;180;83
321,20200112,;6;200;140;140;180;84
321,20200112,;7;190;140;140;180;77
321,20200112,;8;200;140;150;180;77
321,20200112,;9;200;150;160;190;90
321,20200112,;10;200;160;150;200;84
321,20200112,;11;190;140;130;180;86
321,20200112,;12;210;130;140;170;103
321,20200112,;13;220;140;140;170;106
321,20200112,;14;230;130;120;180;106
321,20200112,;15;230;130;100;160;106
321,20200112,;16;240;120;80;140;105
321,20200112,;17;250;100;90;120;103
321,20200112,;18;250;90;90;120;101
321,20200112,;19;240;70;60;100;100
321,20200112,;20;270;60;50;70;96
321,20200112,;21;260;50;40;70;94
321,20200112,;22;230;30;30;50;94
321,20200112,;23;230;70;60;80;94
321,20200112,;24;230;70;60;90;92
321,20200113,;1;220;80;90;110;92
321,20200113,;2;220;90;80;110;92
321,20200113,;3;220;90;90;120;92
321,20200113,;4;200;90;80;110;88
321,20200113,;5;200;90;100;120;87
321,20200113,;6;200;100;110;120;86
321,20200113,;7;200;100;100;120;87
321,20200113,;8;180;100;100;120;79
321,20200113,;9;170;100;100;130;72
321,20200113,;10;180;110;110;130;70
321,20200113,;11;170;110;120;140;62
321,20200113,;12;170;120;110;140;64
321,20200113,;13;170;120;120;140;73
321,20200113,;14;170;120;120;140;79
321,20200113,;15;160;120;120;150;80
321,20200113,;16;160;130;120;160;79
321,20200113,;17;160;140;140;180;85
321,20200113,;18;160;140;140;180;87
321,20200113,;19;170;160;160;190;95
321,20200113,;20;170;160;160;210;98
321,20200113,;21;170;160;160;200;98
321,20200113,;22;170;170;170;210;100
